aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,worm_ID,worm_area
23,0.293,45,16.523,34,64,13.184,135,N2,L4+14,mannitol,M3_N2_D3,78159.668
24,0.195,55,12.728,46,64,10.742,110,N2,L4+14,mannitol,M3_N2_D3,78159.668
25,0.195,45.5,3.536,43,48,8.887,91,N2,L4+14,mannitol,M3_N2_D3,78159.668
26,0.195,43,14.142,33,53,8.398,86,N2,L4+14,mannitol,M3_N2_D3,78159.668
27,0.098,38,0,38,38,3.711,38,N2,L4+14,mannitol,M3_N2_D3,78159.668
28,0.195,42,9.899,35,49,8.203,84,N2,L4+14,mannitol,M3_N2_D3,78159.668
29,0.098,31,0,31,31,3.027,31,N2,L4+14,mannitol,M3_N2_D3,78159.668
30,0.977,42.5,9.12,33,57,41.504,425,N2,L4+14,mannitol,M3_N2_D3,78159.668
31,0.195,30,0,30,30,5.859,60,N2,L4+14,mannitol,M3_N2_D3,78159.668
32,0.098,46,0,46,46,4.492,46,N2,L4+14,mannitol,M3_N2_D3,78159.668
33,0.098,31,0,31,31,3.027,31,N2,L4+14,mannitol,M3_N2_D3,78159.668
34,0.098,31,0,31,31,3.027,31,N2,L4+14,mannitol,M3_N2_D3,78159.668
35,0.195,46.5,6.364,42,51,9.082,93,N2,L4+14,mannitol,M3_N2_D3,78159.668
36,0.098,30,0,30,30,2.93,30,N2,L4+14,mannitol,M3_N2_D3,78159.668
