aggr_num,aagr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
86,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
87,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C3_N3_D1,41054.883
88,0.195,34,0,34,34,6.641,68,N3,L4+1,control,C3_N3_D1,41054.883
89,0.293,41.333,8.505,33,50,12.109,124,N3,L4+1,control,C3_N3_D1,41054.883
90,0.195,31,1.414,30,32,6.055,62,N3,L4+1,control,C3_N3_D1,41054.883
91,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
92,0.195,31.5,2.121,30,33,6.152,63,N3,L4+1,control,C3_N3_D1,41054.883
93,0.293,31,1.732,30,33,9.082,93,N3,L4+1,control,C3_N3_D1,41054.883
94,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
95,0.293,42.667,13.204,31,57,12.5,128,N3,L4+1,control,C3_N3_D1,41054.883
96,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
97,0.195,40,12.728,31,49,7.812,80,N3,L4+1,control,C3_N3_D1,41054.883
98,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
99,0.195,45,14.142,35,55,8.789,90,N3,L4+1,control,C3_N3_D1,41054.883
100,0.098,64,0,64,64,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
101,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C3_N3_D1,41054.883
102,0.586,63.333,2.503,60,66,37.109,380,N3,L4+1,control,C3_N3_D1,41054.883
103,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
104,0.098,34,0,34,34,3.32,34,N3,L4+1,control,C3_N3_D1,41054.883
105,0.293,63.333,2.309,62,66,18.555,190,N3,L4+1,control,C3_N3_D1,41054.883
106,0.098,44,0,44,44,4.297,44,N3,L4+1,control,C3_N3_D1,41054.883
107,0.195,47.5,16.263,36,59,9.277,95,N3,L4+1,control,C3_N3_D1,41054.883
108,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
109,0.098,47,0,47,47,4.59,47,N3,L4+1,control,C3_N3_D1,41054.883
110,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
111,0.098,63,0,63,63,6.152,63,N3,L4+1,control,C3_N3_D1,41054.883
112,0.098,64,0,64,64,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
113,0.488,44.2,14.096,30,65,21.582,221,N3,L4+1,control,C3_N3_D1,41054.883
114,0.293,36.333,3.786,32,39,10.645,109,N3,L4+1,control,C3_N3_D1,41054.883
115,0.293,63.667,3.215,60,66,18.652,191,N3,L4+1,control,C3_N3_D1,41054.883
116,0.098,35,0,35,35,3.418,35,N3,L4+1,control,C3_N3_D1,41054.883
117,0.293,34.667,2.309,32,36,10.156,104,N3,L4+1,control,C3_N3_D1,41054.883
118,0.684,36.571,6.901,30,51,25,256,N3,L4+1,control,C3_N3_D1,41054.883
119,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C3_N3_D1,41054.883
120,0.195,33,4.243,30,36,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
121,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
122,0.684,42.857,12.185,31,61,29.297,300,N3,L4+1,control,C3_N3_D1,41054.883
123,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
124,1.562,49.312,11.926,31,66,77.051,789,N3,L4+1,control,C3_N3_D1,41054.883
125,0.195,58,2.828,56,60,11.328,116,N3,L4+1,control,C3_N3_D1,41054.883
126,0.098,36,0,36,36,3.516,36,N3,L4+1,control,C3_N3_D1,41054.883
127,0.391,31.5,2.38,30,35,12.305,126,N3,L4+1,control,C3_N3_D1,41054.883
128,0.195,48,24.042,31,65,9.375,96,N3,L4+1,control,C3_N3_D1,41054.883
129,0.488,62.8,2.168,59,64,30.664,314,N3,L4+1,control,C3_N3_D1,41054.883
130,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C3_N3_D1,41054.883
